,name,med_debt,profit,for_profit,arts
1,Mt Sierra College,47870,22,Y,Y
2,Newschool of Architecture and Design,43417,30,Y,Y
3,DeVry University-California,43068,18,Y,N
4,Expression College for Digital Arts,40000,30,Y,Y
5,Southern California Institute of Architecture,39500,30,N,Y
6,Westwood College-South Bay,38913,22,Y,N
7,Westwood College-Anaheim,38748,22,Y,N
8,Westwood College-Inland Empire,38748,22,Y,N
9,Design Institute of San Diego,38087,30,Y,Y
10,Westwood College-Los Angeles,37656,22,Y,N
11,Art Center College of Design,36187,30,N,Y
12,University of Phoenix-San Diego Campus,35500,18,Y,N
13,University of Phoenix-Bay Area Campus,35500,18,Y,N
14,University of Phoenix-Southern California Campus,35500,18,Y,N
15,University of Phoenix-Sacramento Valley Campus,35500,18,Y,N
16,University of Phoenix-Central Valley Campus,35500,20,Y,N
17,Academy of Art University,34000,30,Y,Y
18,West Coast University-Los Angeles,33832,26,Y,N
19,West Coast University-Orange County,33832,26,Y,N
20,West Coast University-Ontario,33832,26,Y,N
21,Cogswell College,32875,22,Y,N
22,Interior Designers Institute,32000,30,Y,Y
23,American University of Health Sciences,31997,14,Y,N
24,Brooks Institute,31000,30,Y,Y
25,Columbia College-Hollywood,31000,30,N,Y
26,Woodbury University,31000,19,N,N
27,Holy Names University,30750,19,N,N
28,Charles R Drew University of Medicine and Science,30000,26,N,N
29,Laguna College of Art and Design,29500,30,N,Y
30,California Institute of the Arts,29400,30,N,Y
31,International Academy of Design and Technology-Sacramento,29375,14,Y,Y
32,Coleman University,29177,23,N,N
33,Humphreys College-Stockton and Modesto Campuses,29168,22,N,N
34,Humphreys College-Modesto,29168,22,N,N
35,Epic Bible College,28662,24,N,N
36,National University,28411,18,N,N
37,Pacific Union College,28334,21,N,N
38,Gnomon School of Visual Effects,28333,30,Y,Y
39,Everest College-Ontario Metro,28258,23,Y,N
40,Golden Gate University-San Francisco,28118,18,N,N
41,Golden Gate University-Los Angeles,28118,18,N,N
42,Golden Gate University-Silicon Valley,28118,18,N,N
43,Trinity Law School,28001,31,N,N
44,California Baptist University,27687,18,N,N
45,SUM Bible College and Theological Seminary,27104,24,N,N
46,California College of the Arts,27000,30,N,Y
47,Dominican University of California,27000,19,N,N
48,La Sierra University,27000,19,N,N
49,Notre Dame de Namur University,27000,19,N,N
50,Otis College of Art and Design,27000,30,N,Y
